fiscal_date,quarter,sales,cost_of_goods,gross_profit,operating_income,other_income_expense,net_income,eps_basic,eps_diluted,basic_shares_outstanding,diluted_shares_outstanding,ebitda,net_income_continuous_operations,minority_interests,preferred_stock_dividends,research_and_development,selling_general_and_administrative,other_operating_expenses,income,expense,ticker
2023-06-30,2.0,24927000000.0,20394000000.0,4533000000.0,2399000000.0,328000000.0,2614000000.0,0.85,0.78,3171000000.0,3478000000.0,4119000000.0,2614000000.0,89000000.0,0.0,943000000.0,1191000000.0,,238000000.0,28000000.0,TSLA
2023-03-31,1.0,23329000000.0,18818000000.0,4511000000.0,2664000000.0,-48000000.0,2539000000.0,0.8,0.73,3166000000.0,3468000000.0,3875000000.0,2539000000.0,-26000000.0,,771000000.0,1076000000.0,,213000000.0,29000000.0,TSLA
2022-12-31,4.0,24318000000.0,18541000000.0,5777000000.0,3935000000.0,-76000000.0,3707000000.0,1.18,1.07,3160000000.0,3471000000.0,5039000000.0,3707000000.0,7000000.0,,810000000.0,1032000000.0,,157000000.0,33000000.0,TSLA
2023-12-31,1.0,8634000000.0,1660000000.0,6974000000.0,5963000000.0,266000000.0,4890000000.0,2.39,2.39,1584000000.0,2045000000.0,6210000000.0,4890000000.0,,,,764000000.0,,,187000000.0,V
2023-09-30,4.0,8609000000.0,1695000000.0,6914000000.0,5679000000.0,140000000.0,4681000000.0,2.27,2.27,1603000000.0,2065000000.0,5926000000.0,4681000000.0,,,,988000000.0,,,183000000.0,V
2023-06-30,3.0,8123000000.0,1663000000.0,6460000000.0,5481000000.0,-153000000.0,4156000000.0,2.0,2.0,1614000000.0,2080000000.0,5716000000.0,4156000000.0,,,,744000000.0,,,182000000.0,V
2023-03-31,2.0,7985000000.0,1694000000.0,6291000000.0,5336000000.0,84000000.0,4257000000.0,2.04,2.03,1879000000.0,2093000000.0,5570000000.0,4257000000.0,,,,721000000.0,,,142000000.0,V
2022-12-31,1.0,7936000000.0,1515000000.0,6421000000.0,5431000000.0,-317000000.0,4179000000.0,1.99,1.99,1629000000.0,2102000000.0,5658000000.0,4179000000.0,,,,763000000.0,,,137000000.0,V
2023-12-31,4.0,65863000000.0,10014000000.0,55849000000.0,26766000000.0,,21963000000.0,,,,,28511000000.0,21963000000.0,,,10460000000.0,18626000000.0,-3000000.0,-2820000000.0,-2101000000.0,NVO
2023-09-30,3.0,58731000000.0,9713000000.0,49018000000.0,26913000000.0,,22478000000.0,5.02,5.0,4476900000.0,4489000000.0,32756000000.0,22478000000.0,,,8128000000.0,14075000000.0,-98000000.0,3318000000.0,2168000000.0,NVO
2023-06-30,2.0,54300000000.0,7856000000.0,46444000000.0,23888000000.0,,19428000000.0,4.325,4.315,4490400000.0,4502600000.0,26712000000.0,19428000000.0,,,7127000000.0,15414000000.0,15000000.0,647000000.0,281000000.0,NVO
