symbol,name,exchange,sector,industry,employees,zip,state,country
NPCE,"NeuroPace, Inc.",NASDAQ,Healthcare,Medical Devices,169,94043,CA,United States
ONEW,OneWater Marine Inc,NASDAQ,Consumer Cyclical,Specialty Retail,2319,30518,GA,United States
NVEC,NVE Corp,NASDAQ,Technology,Semiconductors,51,55344-3617,MN,United States
EPIX,Essa Pharma Inc,NASDAQ,Healthcare,Biotechnology,50,V5Z 1K5,BC,Canada
LYTS,LSI Industries Inc,NASDAQ,Technology,Electronic Components,1600,45242,OH,United States
FARO,FARO Technologies Inc,NASDAQ,Technology,Scientific & Technical Instruments,1243,32746,FL,United States
TMC,TMC the metals company Inc.,NASDAQ,Basic Materials,Other Industrial Metals & Mining,39,V6C 2T5,BC,Canada
GFR,Greenfire Resources Ltd. Common Shares,NYSE,Energy,Oil & Gas E&P,165,T2P 2V7,AB,Canada
ESQ,Esquire Financial Holdings Inc,NASDAQ,Financial Services,Banks - Regional,116,11753,NY,United States
THRD,Third Harmonic Bio Inc,NASDAQ,Healthcare,Biotechnology,32,02139,MA,United States
CCNE,CNB Financial Corp-PA,NASDAQ,Financial Services,Banks—Regional,722,16830,PA,United States
PBPB,Potbelly Corp,NASDAQ,Consumer Cyclical,Restaurants,6000,60606,IL,United States
NBN,Northeast Bank,NASDAQ,Financial Services,Banks—Regional,182,04101,ME,United States
STRW,"Strawberry Fields REIT, Inc.",NYSE,Real Estate,REIT - Healthcare Facilities,8,46628,IN,United States
FSBC,FSB Bancorp Inc-NY,NASDAQ,Financial Services,Banks - Regional,180,95670,CA,United States
BHRB,"Burke & Herbert Bank & Trust Co. (Alexandria, VA)",NASDAQ,Financial Services,Banks—Regional,404,22314,VA,United States
LXEO,"Lexeo Therapeutics, Inc.",NASDAQ,Healthcare,Biotechnology,0,10010,NY,United States
IAUX,i-80 Gold Corp.,NYSE,Basic Materials,Gold,0,89502,NV,United States
LAW,"CS Disco, Inc.",NYSE,Technology,Software—Application,543,78701,TX,United States
MGTX,MeiraGTx Holdings plc,NASDAQ,Healthcare,Biotechnology,407,10016,NY,United States
RMR,RMR GROUP INC-THE - A,NASDAQ,Real Estate,Real Estate Services,600,02458-1634,MA,United States
NGNE,Neurogene Inc.,NASDAQ,Healthcare,Biotechnology,82,10011,NY,United States
AROW,Arrow Financial Corp,NASDAQ,Financial Services,Banks - Regional,500,12801,NY,United States
GBLI,Global Indemnity Ltd,NYSE,Financial Services,Insurance - Property & Casualty,355,19801,DE,United States
ACTG,Acacia Research Corp,NASDAQ,Industrials,Business Equipment & Supplies,263,10017,NY,United States
INZY,"Inozyme Pharma, Inc.",NASDAQ,Healthcare,Biotechnology,56,02210,MA,United States
ITOS,"iTeos Therapeutics, Inc.",NASDAQ,Healthcare,Biotechnology,125,02472,MA,United States
STEM,"Stem, Inc.",NYSE,Technology,Software - Infrastructure,624,94111,CA,United States
ARMN,Aris Mining Corporation Common Shares,NYSE,Basic Materials,Gold,0,V6C 0A3,BC,Canada
MODV,ModivCare Inc.,NASDAQ,Healthcare,Medical Care Facilities,21200,80237,CO,United States
NCMI,National CineMedia Inc,NASDAQ,Communication Services,Advertising Agencies,297,80111,CO,United States
ANRO,"Alto Neuroscience, Inc.",NYSE,Healthcare,Biotechnology,0,94022,CA,United States
NETD,Nabors Energy Transition Corp. II - Class A Ordinary Shares,NASDAQ,Financial Services,Shell Companies,0,77067,TX,United States
VALU,Value Line Inc,NASDAQ,Financial Services,Financial Data & Stock Exchanges,138,10176-0001,NY,United States
HRZN,Horizon Technology Finance Corp,NASDAQ,Financial Services,Asset Management,0,06032-2586,CT,United States
OPY,Oppenheimer Holdings Inc,NYSE,Financial Services,Capital Markets,2916,10004,NY,United States
VNET,21Vianet Group Inc,NASDAQ,Technology,Information Technology Services,3293,100016,,China
SGU,Star Group LP,NYSE,Energy,Oil & Gas Refining & Marketing,3052,06902,CT,United States
ZYXI,Zynex Inc,NASDAQ,Healthcare,Medical Distribution,900,80112,CO,United States
OSPN,OneSpan Inc,NASDAQ,Technology,Software - Infrastructure,814,02210,MA,United States
33L,Lululemon Athletica Inc,FSX,Consumer Cyclical,Apparel Retail,34000,V6J 1C7,BC,Canada
B2W,Borr Drilling Limited,FSX,Energy,Oil & Gas Drilling,1504,HM11,,Bermuda
MMSMY,"Mitsu Mining & Smelting Co., Ltd.",OTC,Industrials,Conglomerates,12115,141-8584,,Japan
GYUAF,Gs Yuasa Corp.,OTC,Industrials,Electrical Equipment & Parts,14317,601-8520,,Japan
300011,"Beijing Dinghan Technology Group Co., Ltd.",SZSE,Industrials,Tools & Accessories,1615,100070,,China
LVS,Las Vegas Sands Corp,NYSE,Consumer Cyclical,Resorts & Casinos,38400,89119,NV,United States
7225,P.A. Resources Berhad,MYX,Industrials,Metal Fabrication,0,45620,,Malaysia
ISU,Isuzu Motors Limited,FSX,Consumer Cyclical,Auto Manufacturers,44495,220-8720,,Japan
NUTEX,NUTEX Investments Public Limited Company,BSE,Healthcare,Drug Manufacturers - Specialty & Generic,0,1147,,Hungary
9686,Toyo Tec Co. Ltd.,JPX,Industrials,Security & Protection Services,1935,556-0022,,Japan
AT0000A370Z6,EGB Bonus.Z./OMV 23-24,VSE,,,0,,,Austria
LMMFF,Lithium Australia NL,OTC,Basic Materials,Other Industrial Metals & Mining,0,3101,VIC,Australia
APEOF,Growmax Res Corp.,OTC,Financial Services,Asset Management,0,V6C 1G8,BC,Canada
CZO,Ceapro Inc,TSXV,Healthcare,Biotechnology,0,T6E 6W2,AB,Canada
267250,"Hyundai Heavy Industries Holdings Co., Ltd.",KRX,Energy,Oil & Gas Refining & Marketing,50,,,South Korea
TEND,TENARIS S.A.,BCBA,,,25292,2449,,Luxembourg
0MM3,iShares EURO STOXX UCITS ETF ,LSE,,,0,,,United Kingdom
EGS21451C017,Delta for construction & Rebuilding,EGX,,,0,,,Egypt
B2LN34,"BlackLine, Inc.",BOVESPA,,,1750,91367,CA,United States
TINPLATE,The Tinplate Company Of India Limited,BSE,Basic Materials,Steel,2436,700001,,India
EDDYF,EDISON LITHIUM CORP.,OTC,Basic Materials,Other Industrial Metals & Mining,0,V7L 2J8,BC,Canada
200541,"Foshan Electrical and Lighting Co.,Ltd",SZSE,Industrials,Electrical Equipment & Parts,12891,528000,,China
IBULHSGFIN.AJ,Sec Re NCD Sr.VI,NSE,,,0,,,India
OSL,OncoSil Medical Ltd,ASX,Healthcare,Medical Devices,0,2113,NSW,Australia
3661,"m-up holdings, Inc.",JPX,Communication Services,Internet Content & Information,246,150-0002,,Japan
6UA,Tekmar Group plc,FSX,Industrials,Engineering & Construction,176,DL3 0UP,,United Kingdom
PX0,PolarX Limited,FSX,Basic Materials,Other Industrial Metals & Mining,1,6008,WA,Australia
065484,065484.TW,TWSE,,,0,,,Taiwan
HY5A,HUYA Inc,FSX,Communication Services,Entertainment,1521,511446,,China
HVY,HEAVY MIN FPO,ASX,,,0,6104,WA,Australia
CVS0,CVS Health Corporation,FSX,Healthcare,Healthcare Plans,219000,02895,RI,United States
GVLMY,Greenvale Energy Limited,OTC,Energy,Oil & Gas E&P,0,2000,NSW,Australia
UNTY,Unity Bancorp Inc,NASDAQ,Financial Services,Banks—Regional,237,08809,NJ,United States
BLEVF,Beleave Inc.,OTC,Healthcare,Drug Manufacturers—Specialty & Generic,0,L6H 0H2,ON,Canada
REXR.PR.B,Rexford Industrial Realty Inc,NYSE,Real Estate,REIT—Industrial,242,90025-6821,CA,United States
076702,,TWSE,,,0,,,Taiwan
PNP,Pinetree Capital Ltd,TSX,Financial Services,Capital Markets,3,M4E 2R2,ON,Canada
WF6,MindBio Therapeutics Corp.,FSX,Healthcare,Biotechnology,0,3000,BC,Canada
001308,"Shenzhen KTC Technology Co., Ltd.",SZSE,Technology,Electronic Components,6263,518129,,China
AKGRT,Aksigorta A.S.,BIST,Financial Services,Insurance - Diversified,771,34771,,Turkey
CPER,"United States Copper Index Fund, LP",NYSE,,,0,,,United States
0N7X,Cloetta AB ,LSE,Consumer Defensive,Confectioners,2600,174 02,,Sweden
SOUHY,South32 Ltd.,OTC,Basic Materials,Other Industrial Metals & Mining,9616,6000,WA,Australia
TMV,Direxion Daily 20+ Year Treasury Bear 3X Shares,NYSE,,,0,,,United States
CS6,Cascades Inc.,FSX,Consumer Cyclical,Packaging & Containers,10000,J0A 1B0,QC,Canada
076262,KGI SECURITIES C/W 16/07/21,TWSE,,,0,,,Taiwan
AT0000A2NXY1,RCB GarZ/STOXXGlobSelDiv100-29,VSE,,,0,,,Austria
002505,"Pengdu Agriculture & Animal Husbandry Co., Ltd.",SZSE,Consumer Defensive,Farm Products,2831,410205,,China
VSACU,Vision Sensing Acquisition Corp. Unit,NASDAQ,Financial Services,Shell Companies,0,33130,FL,United States
MYIDF,Killi Ltd.,OTC,Technology,Software—Application,0,M5H 4G2,ON,Canada
0JJM,BioPorto A/S,LSE,,,33,2900,,Denmark
CNHI,CNH Industrial NV,NYSE,Industrials,Farm & Heavy Construction Machinery,40000,SS14 3AD,,United Kingdom
R5XA,"AcelRx Pharmaceuticals, Inc.",FSX,Healthcare,Drug Manufacturers - Specialty & Generic,19,94404,CA,United States
TWP.R,Thai Wire Products Public Company Limited,SET,Basic Materials,Building Materials,0,12120,,Thailand
KIND.SDB,Kindred Group plc,OMX,Consumer Cyclical,Gambling,2453,TPO 0001,,Malta
GCY,Aerojet Rocketdyne Holdings Inc,FSX,,,0,,,Germany
BULL.SILVER.X4.AVA,BULL-SILVER-X4-AVA.ST,OMX,,,0,,,Sweden
C0229A,C.F. MCDO. OTROS BIENES - CERTI,BVCC,,,0,,,Venezuela
OETO,Okeanis Eco Tankers Corp,OSE,,,0,,,Norway
STEELCAS,Steelcast Limited,BSE,Basic Materials,Steel,905,364005,,India
D9F2,Drax Group plc,FSX,Utilities,Utilities—Renewable,3003,YO8 8PH,,United Kingdom
BBMD,PT Bank Mestika Dharma Tbk,IDX,Financial Services,Banks—Regional,1087,20112,,Indonesia
CITY,"Avalon Correctional Services, Inc.",OTC,,,0,,,United States
NZ2,HealthBeacon plc,FSX,Healthcare,Health Information Services,70,D12 WD85,,Ireland
AT0000A2WSQ8,EB Fair Invest Gar 90% 22-27,VSE,,,0,,,Austria
011150,CJ Seafood Corporation,KRX,Consumer Defensive,Packaged Foods,298,5449-1,,South Korea
